LAST_TRANSMITTER_PRESSURE,LAST_TRANSMITTER_MASS_FLOW,FIRST_TRANSMITTER_PRESSURE,FIRST_TRANSMITTER_MASS_FLOW,LAST_TRANSMITTER_FLUID_DENSITY,LAST_TRANSMITTER_FLUID_TEMPERATURE,LAST_TRANSMITTER_VOLUMETRIC_FLUID,FIRST_TRANSMITTER_VOLUMETRIC_FLUID,LEAKED_FLOW
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03385048,0.03380678,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384966,0.03380608,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384952,0.03380576,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.0338493,0.03380559,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384908,0.03380538,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384886,0.03380514,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384878,0.03380508,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384873,0.03380504,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384867,0.03380498,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384864,0.03380494,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384862,0.03380492,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384861,0.03380491,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384859,0.0338049,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384859,0.03380489,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384858,0.03380489,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384858,0.03380488,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384857,0.03380488,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384857,0.03380488,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384857,0.03380488,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384857,0.03380488,0.0
222750.9,28.93249,855931.7,28.93249,854.763,21.46576,0.03384857,0.03380488,0.0
